time,ax,ay,az,atotal
260.26954889297485,1.96,26.36,-24.65,36.14
260.2844650745392,-5.82,11.34,-22.19,25.59
260.3021159172058,3.47,-42.98,39.58,58.53
260.30353593826294,2.44,-6.01,-24.06,24.91
260.31858921051025,1.02,25.42,-25.81,36.24
260.3196380138397,1.55,11.98,36.99,38.91
260.3347120285034,-3.27,-8.59,-4.72,10.33
260.3524670600891,-1.05,-2.96,-13.81,14.16
260.3538279533386,2.88,0.34,-13.79,14.09
260.3687090873718,-9.4,5.41,-23.81,26.16
260.36977910995483,2.84,-10.06,18.11,20.91
260.38463401794434,5.19,-5.31,-6.01,9.55
260.40254306793213,7.23,-1.2,30.2,31.07
260.4039330482483,-2.52,2.02,1.8,3.69
260.4185199737549,-8.98,3.95,1.16,9.87
260.4195830821991,1.97,-1.06,-17.01,17.15
260.43504309654236,3.75,4.26,-0.97,5.75
260.4534590244293,-1.2,13.94,-1.11,14.03
260.4548192024231,-0.93,-17.57,13.32,22.06
260.4731879234314,2.6,-10.42,-7.49,13.09
260.47431802749634,0.02,9.25,-1.53,9.37
